"","X.4","X","Year","Region","FedOk","Gini","R.P.10","Dec_coef","Infl_all","Coef_infl","Unfood_infl","Food_infl","Service_infl","Unempl","GRP","Avinc_mrot","Sh_city","Pre_sch","Av_sub_nom","Av_sub_real","GRP2","Av5_infl","Av4_infl","Av3_infl","Av2_infl","YAv_sub_nom","YAv_sub_real","TAv_sub_nom","TAv_sub_real","G_s","avGRP08","Sd_infl","Infl2","G1","G2","G3","G4","G5"
"209",209,502,2016,"Республика Коми",2,0.388,13.1,NA,4.788849341,1.047888493,6.407877542,4.38924091,3.365192257,8.7,6.41525,5.082043843,0.779,0.8624188078,882.96,412.9566306,41.1554325625,8.55436775,9.120196181,10.19701057,12.04898102,10595.52,4955.4795672,0.88296,0.4129566306,0.4248584516,5.1061683,0.239903705429466,22.9330780107961,5.9,10.7,15.6,22.8,45
"210",210,503,2017,"Республика Коми",2,0.382,12.5,6,2.361258136,1.023612581,2.139737266,1.532140232,3.926383542,7.8,6.791626,4.157466667,0.78,0.8799547656,879.5,401.215483,46.126183723876,8.239835806,8.819350069,9.574701969,8.909037406,10554,4814.585796,0.8795,0.401215483,0.4426985482,5.1061683,0.266952498328143,5.57553998482619,6,10.8,15.7,22.9,44.6
"211",211,518,2008,"Архангельская область",2,0.383,12.6,NA,14.0796294,1.140796294,10.06244004,16.28332233,17.19274651,6.8,2.314928,NA,0.745,0.7586644125,322.24,284.4591132,5.358891645184,10.70823888,10.99787162,10.50079956,10.89963615,3866.88,3413.5093584,0.32224,0.2844591132,0.27883815,4.1759259,0.50000833326389,198.235964041344,6,10.8,15.7,22.9,44.6
"212",212,519,2009,"Архангельская область",2,0.387,13,NA,8.589158139,1.085891581,9.721977877,5.822243634,11.16807311,7.2,2.605847,NA,0.748,0.7493093754,340.09,275.9416955,6.790438587409,11.60749005,11.3848414,11.94966064,13.47110847,4081.08,3311.300346,0.34009,0.2759416955,0.2835121359,4.1759259,0.601698406365034,73.7736375367499,5.9,10.7,15.6,22.8,45
"213",213,520,2010,"Архангельская область",2,0.384,12.7,NA,9.366700798,1.093667008,5.944312028,13.1927451,9.437586906,6.9,3.028013,NA,0.752,0.769,647.56,483.0229503,9.168862728169,10.82000512,11.09990884,11.81987961,11.3005432,7770.72,5796.2754036,0.64756,0.4830229503,0.2803048726,4.1759259,0.466458286809584,87.7350838392538,6,10.8,15.7,22.8,44.7
"214",214,521,2011,"Архангельская область",2,0.381,12.5,NA,5.365943972,1.05365944,5.500641158,4.218554044,6.908609947,5.9,3.601659,4.954919169,0.757,0.756,654.45,460.0936405,12.971947552281,10.75108366,11.20147377,10.65215923,8.977236009,7853.4,5521.123686,0.65445,0.4600936405,0.296,4.1759259,0.603998252388936,28.7933547106431,6,10.9,15.7,22.9,44.5
"215",215,522,2012,"Архангельская область",2,0.387,13,NA,5.930448125,1.059304481,4.791060026,6.496851767,6.886548762,5.4,3.911462,5.01882455,0.762,0.762,557.7,367.8852814,15.299534977444,10.0090684,9.306247546,7.759924866,7.347685903,6692.4,4414.6233768,0.5577,0.3678852814,0.295,4.1759259,0.286758706154767,35.170214963316,5.9,10.7,15.6,22.8,45
"216",216,523,2013,"Архангельская область",2,0.38,12.4,NA,6.670074282,1.066700743,4.550573437,7.907657361,8.517136178,6.1,4.177764,5.045629203,0.766,0.765,651.18,403.5212012,17.453712039696,8.622589067,7.299614661,6.873178946,5.647819012,7814.16,4842.2544144,0.65118,0.4035212012,0.2942162937,4.1759259,0.305122926047847,44.4898909273978,6.1,10.9,15.7,22.9,44.4
"217",217,524,2014,"Архангельская область",2,0.383,12.2,NA,12.9684366,1.129684366,8.754235586,19.54403082,10.92210531,7.2,4.569858,5.299243788,0.765,0.772,742.38,413.0981021,20.883602140164,7.173410053,6.822366554,5.987477594,6.299617921,8908.56,4957.1772252,0.74238,0.4130981021,0.4003176831,4.1759259,0.794623505285057,168.18034784822,6.1,10.9,15.8,22.9,44.3
"218",218,525,2015,"Архангельская область",2,0.369,11.4,NA,13.0174306,1.130174306,14.35462511,12.4770495,11.5371771,6.8,5.325337,5.462699078,0.77,0.7911,769.53,379.2513569,28.359214163569,8.02423012,7.691195201,8.477626736,9.774093135,9234.36,4551.0162828,0.76953,0.3792513569,0.4093632187,4.1759259,1.05844654608019,169.453499425816,6.3,11.2,16,23,43.5
